,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.5198237885462555,0.25,0.38372093023255816,0.467005076142132,0.6012332990750257,0.5492341356673961,0.44435661879919425,0.5045248762048274
recall,0.6537396121883656,0.045,0.15137614678899083,0.32242990654205606,0.8692421991084696,0.5492341356673961,0.4083575729255764,0.5492341356673961
f1-score,0.5791411042944785,0.07627118644067797,0.21710526315789477,0.38147892190739463,0.7108140947752125,0.5492341356673961,0.3929621141151317,0.5008702092514693
support,361.0,200.0,436.0,856.0,1346.0,0.5492341356673961,3199.0,3199.0
