,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.5346320346320347,0.2631578947368421,0.4110429447852761,0.48722316865417375,0.599281682914315,0.5557986870897156,0.4590675451445284,0.5153312425590978
recall,0.6842105263157895,0.05,0.1536697247706422,0.3341121495327103,0.8677563150074294,0.5557986870897156,0.4179497431253143,0.5557986870897156
f1-score,0.6002430133657352,0.08403361344537816,0.2237061769616027,0.3963963963963964,0.7089529590288316,0.5557986870897156,0.4026664318395888,0.5078450584049664
support,361.0,200.0,436.0,856.0,1346.0,0.5557986870897156,3199.0,3199.0
