,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.5305676855895196,0.3103448275862069,0.4022346368715084,0.4810725552050473,0.608214849921011,0.5576742732103782,0.46648691103465867,0.5187350725039815
recall,0.6731301939058172,0.045,0.1651376146788991,0.35630841121495327,0.8580980683506686,0.5576742732103782,0.41953485763006765,0.5576742732103782
f1-score,0.5934065934065933,0.07860262008733625,0.23414634146341465,0.40939597315436244,0.711864406779661,0.5576742732103782,0.40548318697827346,0.5128604419071129
support,361.0,200.0,436.0,856.0,1346.0,0.5576742732103782,3199.0,3199.0
