,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.3167495854063018,0.1336116910229645,0.23487544483985764,0.38589211618257263,0.6502403846153846,0.37730540793998124,0.34427384441341624,0.45296087578338096
recall,0.5290858725761773,0.32,0.30275229357798167,0.32593457943925236,0.40193164933135217,0.37730540793998124,0.37594087898495265,0.37730540793998124
f1-score,0.39626556016597514,0.18851251840942562,0.26452905811623245,0.3533882203926536,0.49678604224058776,0.37730540793998124,0.3398962798649749,0.3961435979219825
support,361.0,200.0,436.0,856.0,1346.0,0.37730540793998124,3199.0,3199.0
