,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.35334476843910806,0.09714285714285714,0.2878787878787879,0.41778523489932884,0.5821782178217821,0.45295404814004375,0.3476659732363728,0.44193098674966713
recall,0.5706371191135734,0.085,0.21788990825688073,0.2908878504672897,0.6552748885586924,0.45295404814004375,0.3639379532792872,0.45295404814004375
f1-score,0.43644067796610164,0.09066666666666666,0.24804177545691908,0.3429752066115702,0.6165676336945124,0.45295404814004375,0.34693839207915395,0.4399254279433043
support,361.0,200.0,436.0,856.0,1346.0,0.45295404814004375,3199.0,3199.0
