,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.43137254901960786,0.16707021791767554,0.25285171102661597,0.40533672172808133,0.6874350986500519,0.43857455454829636,0.3888132596684065,0.49129063969034875
recall,0.6094182825484764,0.345,0.30504587155963303,0.3726635514018692,0.4918276374442793,0.43857455454829636,0.4247910685908516,0.43857455454829636
f1-score,0.5051664753157291,0.22512234910277326,0.2765072765072765,0.38831405964698723,0.5734084019055867,0.43857455454829636,0.39370371249567054,0.45393913222552246
support,361.0,200.0,436.0,856.0,1346.0,0.43857455454829636,3199.0,3199.0
