,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.7372262773722628,1.0,0.3333333333333333,0.40242057488653554,0.49620573355817876,0.48608940293841824,0.5938371838300621,0.5076076739408888
recall,0.27977839335180055,0.01,0.020642201834862386,0.3107476635514019,0.87444279346211,0.48608940293841824,0.29912221044003495,0.48608940293841824
f1-score,0.4056224899598393,0.019801980198019802,0.0388768898488121,0.35069215557020433,0.6331360946745562,0.48608940293841824,0.28962592205028637,0.4125458291619993
support,361.0,200.0,436.0,856.0,1346.0,0.48608940293841824,3199.0,3199.0
