,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.7706422018348624,1.0,0.35294117647058826,0.3856655290102389,0.4790828640386163,0.47139731165989374,0.5976663542708611,0.5023630558400449
recall,0.23268698060941828,0.005,0.013761467889908258,0.26401869158878505,0.8848439821693908,0.47139731165989374,0.2800622244515005,0.47139731165989374
f1-score,0.3574468085106383,0.009950248756218907,0.026490066225165566,0.31345353675450766,0.6216075156576201,0.47139731165989374,0.2657896351808301,0.3899899843809852
support,361.0,200.0,436.0,856.0,1346.0,0.47139731165989374,3199.0,3199.0
