,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.7575757575757576,0.0,0.4444444444444444,0.39388489208633093,0.47434885556432516,0.4688965301656768,0.4140507899341716,0.45104771912413477
recall,0.2077562326869806,0.0,0.009174311926605505,0.2558411214953271,0.8930163447251115,0.4688965301656768,0.2731576021668049,0.4688965301656768
f1-score,0.3260869565217391,0.0,0.017977528089887642,0.3101983002832861,0.6195876288659794,0.4688965301656768,0.25477008275217844,0.3829478859167365
support,361.0,200.0,436.0,856.0,1346.0,0.4688965301656768,3199.0,3199.0
