,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.3743119266055046,0.13786008230452676,0.23440453686200377,0.3900523560209424,0.6697142857142857,0.3998124413879337,0.36126863750145266,0.46896506575888763
recall,0.5650969529085873,0.335,0.28440366972477066,0.34813084112149534,0.43536404160475484,0.3998124413879337,0.39359910107192164,0.3998124413879337
f1-score,0.4503311258278146,0.19533527696793002,0.2569948186528498,0.36790123456790125,0.5276902296262944,0.3998124413879337,0.359650537128558,0.4185310530219398
support,361.0,200.0,436.0,856.0,1346.0,0.3998124413879337,3199.0,3199.0
