,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.5476190476190477,0.21311475409836064,0.3555992141453831,0.46954314720812185,0.7074672825250192,0.543607377305408,0.45866868911918657,0.5469004628528802
recall,0.6371191135734072,0.195,0.4151376146788991,0.4322429906542056,0.6827637444279346,0.543607377305408,0.4724526926668893,0.543607377305408
f1-score,0.58898847631242,0.20365535248041777,0.38306878306878306,0.45012165450121655,0.6948960302457466,0.543607377305408,0.4641460593217168,0.5442351024778597
support,361.0,200.0,436.0,856.0,1346.0,0.543607377305408,3199.0,3199.0
