,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.5112612612612613,0.1650943396226415,0.3247863247863248,0.45919778699861685,0.6967455621301775,0.5276648952797749,0.4314170549598044,0.5283163029523964
recall,0.628808864265928,0.175,0.3486238532110092,0.3878504672897196,0.6998514115898959,0.5276648952797749,0.44802691927131055,0.5276648952797749
f1-score,0.5639751552795031,0.16990291262135923,0.33628318584070793,0.42051931602279924,0.698295033358043,0.5276648952797749,0.4377951206244825,0.5264347396130551
support,361.0,200.0,436.0,856.0,1346.0,0.5276648952797749,3199.0,3199.0
