,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.4742729306487696,0.1574468085106383,0.30492424242424243,0.442350332594235,0.7074517019319227,0.493279149734292,0.4172892032219616,0.5209536526615619
recall,0.5872576177285319,0.185,0.36926605504587157,0.4661214953271028,0.5713224368499257,0.493279149734292,0.43579352099028645,0.493279149734292
f1-score,0.5247524752475248,0.17011494252873563,0.3340248962655602,0.4539249146757679,0.6321413892314015,0.493279149734292,0.422991723589798,0.5028182318567713
support,361.0,200.0,436.0,856.0,1346.0,0.493279149734292,3199.0,3199.0
