,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.6005665722379604,0.3333333333333333,0.4122448979591837,0.47588832487309646,0.6190211345939933,0.5645514223194749,0.4882108525995134,0.5325954448295279
recall,0.5872576177285319,0.025,0.231651376146789,0.4380841121495327,0.8268945022288261,0.5645514223194749,0.4217775216507359,0.5645514223194749
f1-score,0.5938375350140056,0.046511627906976744,0.2966226138032306,0.45620437956204374,0.7080152671755725,0.5645514223194749,0.42023828469236585,0.5303234241522632
support,361.0,200.0,436.0,856.0,1346.0,0.5645514223194749,3199.0,3199.0
