,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.6156156156156156,0.3684210526315789,0.4418604651162791,0.47724317295188556,0.6148351648351649,0.5664270084401375,0.5035950942301047,0.5391250073364166
recall,0.5678670360110804,0.035,0.26146788990825687,0.4287383177570093,0.8313521545319466,0.5664270084401375,0.4248850796416586,0.5664270084401375
f1-score,0.5907780979827091,0.06392694063926942,0.3285302593659942,0.45169230769230767,0.7068856601389766,0.5664270084401375,0.42836265316385147,0.5337331005048025
support,361.0,200.0,436.0,856.0,1346.0,0.5664270084401375,3199.0,3199.0
