,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.5977961432506887,0.5,0.43253968253968256,0.4699248120300752,0.6163841807909605,0.5626758361988121,0.5233289637222814,0.5427635060153727
recall,0.6011080332409973,0.04,0.25,0.4380841121495327,0.8105497771173849,0.5626758361988121,0.42794838450158296,0.5626758361988121
f1-score,0.5994475138121548,0.07407407407407407,0.3168604651162791,0.45344619105199513,0.7002567394094994,0.5626758361988121,0.4288169966928005,0.5314354613558594
support,361.0,200.0,436.0,856.0,1346.0,0.5626758361988121,3199.0,3199.0
