,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.5305676855895196,0.3103448275862069,0.398876404494382,0.48031496062992124,0.608214849921011,0.5573616755236012,0.46566374564420815,0.5180746504118481
recall,0.6731301939058172,0.045,0.1628440366972477,0.35630841121495327,0.8580980683506686,0.5573616755236012,0.4190761420337374,0.5573616755236012
f1-score,0.5934065934065933,0.07860262008733625,0.23127035830618894,0.40912139503688794,0.711864406779661,0.5573616755236012,0.40485307472333343,0.5123949941030778
support,361.0,200.0,436.0,856.0,1346.0,0.5573616755236012,3199.0,3199.0
