,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.5346320346320347,0.2631578947368421,0.40993788819875776,0.48722316865417375,0.5986673500768837,0.5554860894029384,0.4587236672597384,0.5149221470070802
recall,0.6842105263157895,0.05,0.15137614678899083,0.3341121495327103,0.8677563150074294,0.5554860894029384,0.41749102752898404,0.5554860894029384
f1-score,0.6002430133657352,0.08403361344537816,0.22110552763819097,0.3963963963963964,0.7085228996057021,0.5554860894029384,0.4020602900902806,0.5073096588774454
support,361.0,200.0,436.0,856.0,1346.0,0.5554860894029384,3199.0,3199.0
