,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.3812375249500998,0.13552361396303902,0.26199261992619927,0.3949801849405548,0.6600877192982456,0.4063769928102532,0.3667643326156277,0.4706287465057738
recall,0.5290858725761773,0.33,0.3256880733944954,0.3492990654205608,0.4472511144130758,0.4063769928102532,0.39626482516086187,0.4063769928102532
f1-score,0.44315545243619486,0.1921397379912664,0.2903885480572597,0.37073775573465595,0.5332152347209921,0.4063769928102532,0.36592734578807384,0.42515651695029877
support,361.0,200.0,436.0,856.0,1346.0,0.4063769928102532,3199.0,3199.0
