,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,0.380859375,0.11739130434782609,0.24486301369863014,0.3894165535956581,0.6467991169977925,0.39543607377305406,0.35586587272798137,0.4600378088696717
recall,0.5401662049861495,0.27,0.32798165137614677,0.3352803738317757,0.43536404160475484,0.39543607377305406,0.38175845435976535,0.39543607377305406
f1-score,0.4467353951890034,0.16363636363636366,0.28039215686274505,0.36032642812303833,0.5204262877442273,0.39543607377305406,0.3543033263110756,0.4142491205250736
support,361.0,200.0,436.0,856.0,1346.0,0.39543607377305406,3199.0,3199.0
